"","X","Game.ID","Team","Player","Player.ID","Minutes.Played","Field.Goals","Field.Goal.Attempts","Field.Goal.Percentage","X3.Point.Field.Goals","X3.Point.Field.Goal.Attempts","X3.Point.Field.Goal.Percentage","Free.Throws","Free.Throw.Attempts","Free.Throw.Percentage","Offensive.Rebounds","Defensive.Rebounds","Total.Rebounds","Assists","Steals","Blocks","Turnovers","Personal.Fouls","Points","Plus.Minus","Games","GP","Game.Date"
"1",1,"201210300CLE","WAS","A.J. Price","priceaj01","29:24:00",2,13,0.154,2,9,0.222,1,1,1,1,1,2,6,0,0,1,1,7,-11,1,1,2012-10-30
"2",2,"201210300CLE","WAS","Emeka Okafor","okafoem01","24:35:00",4,10,0.4,0,0,NA,2,4,0.5,5,2,7,0,0,4,1,1,10,-5,NA,1,2012-10-30
"3",3,"201210300CLE","WAS","Trevor Ariza","arizatr01","24:35:00",3,8,0.375,2,4,0.5,1,2,0.5,1,2,3,4,3,2,0,0,9,-9,NA,1,2012-10-30
"4",4,"201210300CLE","WAS","Bradley Beal","bealbr01","21:33",2,8,0.25,2,4,0.5,2,2,1,0,3,3,3,1,0,2,1,8,-16,NA,1,2012-10-30
"5",5,"201210300CLE","WAS","Trevor Booker","booketr01","16:45",2,9,0.222,0,1,0,0,0,NA,1,0,1,1,1,1,4,4,4,-15,NA,1,2012-10-30
"6",6,"201210300CLE","WAS","Jordan Crawford","crawfjo02","28:42:00",4,13,0.308,0,6,0,3,4,0.75,1,2,3,5,1,1,1,1,11,0,NA,1,2012-10-30
"7",7,"201210300CLE","WAS","Martell Webster","webstma02","23:25",4,6,0.667,1,3,0.333,0,0,NA,0,3,3,1,2,0,0,1,9,-1,NA,1,2012-10-30
"8",8,"201210300CLE","WAS","Jan Vesely","veselja01","21:14",3,4,0.75,0,0,NA,1,4,0.25,3,1,4,1,0,1,1,3,7,-2,NA,1,2012-10-30
"9",9,"201210300CLE","WAS","Chris Singleton","singlch01","17:11",2,7,0.286,0,1,0,0,0,NA,2,2,4,2,2,0,1,2,4,1,NA,1,2012-10-30
"10",10,"201210300CLE","WAS","Jannero Pargo","pargoja01","16:21",2,6,0.333,1,4,0.25,2,2,1,0,1,1,3,0,0,1,3,7,7,NA,1,2012-10-30
"11",11,"201210300CLE","WAS","Earl Barron","barroea01","16:15",4,6,0.667,0,0,NA,0,1,0,4,4,8,0,1,1,0,2,8,1,NA,1,2012-10-30
"12",12,"201210300CLE","CLE","Anderson Varejao","varejan01","37:22:00",3,7,0.429,0,0,NA,3,3,1,12,11,23,9,0,2,1,4,9,7,NA,1,2012-10-30
"13",13,"201210300CLE","CLE","Kyrie Irving","irvinky01","34:34:00",11,20,0.55,3,6,0.5,4,5,0.8,0,6,6,3,0,1,4,4,29,23,NA,1,2012-10-30
"14",14,"201210300CLE","CLE","Alonzo Gee","geeal01","33:53:00",2,9,0.222,0,2,0,0,0,NA,2,1,3,2,2,0,3,5,4,14,NA,1,2012-10-30
"15",15,"201210300CLE","CLE","Tristan Thompson","thomptr01","31:31:00",5,8,0.625,0,0,NA,2,4,0.5,3,7,10,5,1,0,2,2,12,20,NA,1,2012-10-30
"16",16,"201210300CLE","CLE","Dion Waiters","waitedi01","28:14:00",6,14,0.429,2,5,0.4,3,4,0.75,0,2,2,0,3,0,3,0,17,13,NA,1,2012-10-30
"17",17,"201210300CLE","CLE","C.J. Miles","milescj01","17:42",1,5,0.2,0,1,0,0,0,NA,0,4,4,1,0,0,3,0,2,2,NA,1,2012-10-30
"18",18,"201210300CLE","CLE","Daniel Gibson","gibsoda01","16:11",3,5,0.6,2,4,0.5,2,4,0.5,1,2,3,1,0,1,0,2,10,-9,NA,1,2012-10-30
"19",19,"201210300CLE","CLE","Tyler Zeller","zellety01","14:53",2,4,0.5,0,0,NA,1,2,0.5,0,2,2,0,1,1,0,2,5,4,NA,1,2012-10-30
"20",20,"201210300CLE","CLE","Donald Sloan","sloando01","13:26",2,5,0.4,0,1,0,0,0,NA,0,0,0,1,0,0,2,2,4,-13,NA,1,2012-10-30
"21",21,"201210300CLE","CLE","Luke Walton","waltolu01","12:14",1,2,0.5,0,1,0,0,0,NA,0,1,1,0,0,0,2,0,2,-11,NA,1,2012-10-30
"22",22,"201210300LAL","DAL","Elton Brand","brandel01","36:12:00",3,10,0.3,0,0,NA,2,2,1,2,9,11,2,1,1,0,4,8,7,NA,1,2012-10-30
"23",23,"201210300LAL","DAL","Shawn Marion","mariosh01","32:53:00",5,11,0.455,0,0,NA,1,1,1,2,7,9,4,1,1,2,4,11,-2,NA,1,2012-10-30
