"","X","Game.ID","Team","Player","Player.ID","Minutes.Played","Field.Goals","Field.Goal.Attempts","Field.Goal.Percentage","X3.Point.Field.Goals","X3.Point.Field.Goal.Attempts","X3.Point.Field.Goal.Percentage","Free.Throws","Free.Throw.Attempts","Free.Throw.Percentage","Offensive.Rebounds","Defensive.Rebounds","Total.Rebounds","Assists","Steals","Blocks","Turnovers","Personal.Fouls","Points","Plus.Minus","Games","GP","Game.Date","Seconds.Played","Is.Playoff.Game"
"54",54,"201210300MIA","MIA","LeBron James","jamesle01",28.8666666666667,10,16,0.625,2,4,0.5,4,5,0.8,1,9,10,3,2,0,0,2,26,12,1,1,"2012-10-30",1732,0
"440",440,"201211020NYK","MIA","LeBron James","jamesle01",36.6833333333333,8,16,0.5,2,3,0.667,5,6,0.833,0,7,7,5,0,3,5,2,23,-21,1,1,"2012-11-02",2201,0
"671",671,"201211030MIA","MIA","LeBron James","jamesle01",39.2,8,17,0.471,0,1,0,4,4,1,1,8,9,11,0,2,0,2,20,7,1,1,"2012-11-03",2352,0
"958",958,"201211050MIA","MIA","LeBron James","jamesle01",30.1833333333333,10,17,0.588,2,3,0.667,1,3,0.333,3,8,11,1,0,0,3,2,23,25,1,1,"2012-11-05",1811,0
"1266",1266,"201211070MIA","MIA","LeBron James","jamesle01",29.9833333333333,7,12,0.583,2,3,0.667,4,4,1,4,8,12,8,1,0,2,1,20,18,1,1,"2012-11-07",1799,0
"1431",1431,"201211090ATL","MIA","LeBron James","jamesle01",35.6666666666667,10,17,0.588,0,2,0,1,3,0.333,2,9,11,9,1,0,2,2,21,0,1,1,"2012-11-09",2140,0
"1962",1962,"201211110MEM","MIA","LeBron James","jamesle01",35.7166666666667,10,19,0.526,0,1,0,0,4,0,3,7,10,6,2,1,2,2,20,-18,1,1,"2012-11-11",2143,0
"2071",2071,"201211120HOU","MIA","LeBron James","jamesle01",39.9166666666667,14,26,0.538,5,8,0.625,5,8,0.625,1,9,10,6,0,0,0,1,38,8,1,1,"2012-11-12",2395,0
"2380",2380,"201211140LAC","MIA","LeBron James","jamesle01",41.2166666666667,12,23,0.522,0,3,0,6,9,0.667,0,5,5,7,1,2,4,3,30,-15,1,1,"2012-11-14",2473,0
"2531",2531,"201211150DEN","MIA","LeBron James","jamesle01",41.95,11,23,0.478,0,1,0,5,6,0.833,1,6,7,12,1,3,4,0,27,9,1,1,"2012-11-15",2517,0
