"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @KirkDBorne: Bayes Theorem and Naive Bayes — an intro + example: https://t.co/fNCxT0R2G9 #BigData #DataScience #MachineLearning HT @Opti…",FALSE,0,NA,2015-11-12 04:19:19,FALSE,NA,"664658706479452160",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","gauth555",12,TRUE,FALSE,NA,NA
"2","RT @TalkingEngine: Do you know I monitor 125+ parameters per flight? So yes #BigData is sexy at #DAS15 https://t.co/t6MtSoQ2eh  #EA380 http…",FALSE,0,NA,2015-11-12 04:19:11,FALSE,NA,"664658674061721601",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","diad_sergio",252,TRUE,FALSE,NA,NA
"3","RT @KirkDBorne: Markov Chains in R: https://t.co/48Ymn4wFAh #BigData #DataScience #Rstats #MachineLearning by @alexhwoods https://t.co/IMJq…",FALSE,0,NA,2015-11-12 04:19:09,FALSE,NA,"664658668412014594",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","gauth555",21,TRUE,FALSE,NA,NA
"4","Big Data: Connecting and merging the dots https://t.co/7hdAaTlbKo #BigData",FALSE,0,NA,2015-11-12 04:19:07,FALSE,NA,"664658656634527744",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","TungstenBigData",0,FALSE,FALSE,NA,NA
"5","RT @KirkDBorne: Learning from #BigData and Small Data — What’s the Shape of Your Data? https://t.co/lb0fTYbaU9 = The #DataScience Jerk 
CC:…",FALSE,0,NA,2015-11-12 04:19:03,FALSE,NA,"664658639781822464",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","gauth555",9,TRUE,FALSE,NA,NA
"6","RT @MikeLehrOZA: Impact of #bigdata in customer service training https://t.co/BLR6lcAiOT #training #customerservice #HR #management",FALSE,0,NA,2015-11-12 04:19:01,FALSE,NA,"664658632055779328",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","amrokadri",4,TRUE,FALSE,NA,NA
"7","RT @KirkDBorne: Cultivating Value From Large Datasets Using Exploratory #Analytics: https://t.co/LayLexzWdV #BigData #DataScience HT @SAPPa…",FALSE,0,NA,2015-11-12 04:18:59,FALSE,NA,"664658626007576577",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","gauth555",16,TRUE,FALSE,NA,NA
"8","RT @Chuck_Moeller: ""Common data models, taxonomies and ontologies"" are a must to manage the #BigData explosion. Human and machine teams htt…",FALSE,0,NA,2015-11-12 04:18:56,FALSE,NA,"664658611885346816",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","gauth555",8,TRUE,FALSE,NA,NA
"9","""How to discover stolen data using Hadoop and Big data?"" https://t.co/PzHfzsvbLP #bigdata #feedly",FALSE,0,NA,2015-11-12 04:18:54,FALSE,NA,"664658603345756160",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rotyyu",0,FALSE,FALSE,NA,NA
"10","Doorda: RT BryanJGuinn: How #IoT and #bigdata will change from life of big industry. https://t.co/CaeYe0kP9I #MSFTPartner",FALSE,0,NA,2015-11-12 04:18:54,FALSE,NA,"664658603215888384",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","WorlWindWriting",0,FALSE,FALSE,NA,NA
"11","RT @KirkDBorne: What Are the Steps in Business Data Processing? https://t.co/jtYyG9tep7 #BigData #Analytics #BI #DataScience 
presented by …",FALSE,0,NA,2015-11-12 04:18:53,FALSE,NA,"664658598845247488",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","gauth555",8,TRUE,FALSE,NA,NA
"12","peter_ryans: #blockchain whirlwind month... SO FAR https://t.co/Mhv3pVl8un #iot #bigdata",FALSE,0,NA,2015-11-12 04:18:50,FALSE,NA,"664658588577738752",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","WorlWindWriting",0,FALSE,FALSE,NA,NA
"13","RT @KirkDBorne: 10 great R resources: https://t.co/d55PzVCU3W #abdsc #Rstats #BigData #DataScience https://t.co/8wczh8e2ST",FALSE,0,NA,2015-11-12 04:18:50,FALSE,NA,"664658585691885568",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","gauth555",41,TRUE,FALSE,NA,NA
"14","RT @BigData2025: Python for #DataScience vs Python for Web Development: https://t.co/SCHUl5HQzn #abdsc #BigData #MachineLearning https://t.…",FALSE,0,NA,2015-11-12 04:18:45,FALSE,NA,"664658565647462400",NA,"<a href=""http://bindashsandeep.tk/"" rel=""nofollow"">How To Retweet Man</a>","semrise",2,TRUE,FALSE,NA,NA
"15","startup124: RT ThingsExpo: [video] ‘The World's Many IoTs’ Power Panel ▸ https://t.co/ckH2aEuc2N #Cloud #BigData #IoT #M2M #API #Wearables…",FALSE,0,NA,2015-11-12 04:18:43,FALSE,NA,"664658557040779264",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","WorlWindWriting",0,FALSE,FALSE,NA,NA
"16","RT @KirkDBorne: #BigData #Analytics is a big deal—#DataScience improves how we work, live, &amp; play
https://t.co/lnm8Hbx1iY @BoozAllen https:…",FALSE,0,NA,2015-11-12 04:18:42,FALSE,NA,"664658554662465536",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","gauth555",22,TRUE,FALSE,NA,NA
"17","startup124: RT KirkDBorne: How #BigData #Analytics and the #IoT create #SmartCities:
https://t.co/hteRgPein9 #abd… https://t.co/nCwhKrmY2n",FALSE,0,NA,2015-11-12 04:18:42,FALSE,NA,"664658552921989120",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","WorlWindWriting",0,FALSE,FALSE,NA,NA
"18","RT @KirkDBorne: 7 Traits that a #BigData #DataScientist should NOT have: https://t.co/Kic9tCIVcu #abdsc #DataScience https://t.co/CcN6MzxZmb",FALSE,0,NA,2015-11-12 04:18:40,FALSE,NA,"664658543144931328",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","gauth555",17,TRUE,FALSE,NA,NA
"19","RT @KirkDBorne: How Shell Oil Uses #Analytics To Drive Business Success: https://t.co/UhEABO84mQ #abdsc #OilandGas #BigData #DataScience by…",FALSE,0,NA,2015-11-12 04:18:35,FALSE,NA,"664658525595942913",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","gauth555",14,TRUE,FALSE,NA,NA
"20","RT @KirkDBorne: Get 50+ *free* #DataScience Books at https://t.co/dRslrU5m2h  #abdsc #BigData #Analytics #MachineLearning https://t.co/mAp9…",FALSE,0,NA,2015-11-12 04:18:35,FALSE,NA,"664658522953641985",NA,"<a href=""http://bindashsandeep.tk/"" rel=""nofollow"">How To Retweet Man</a>","semrise",8,TRUE,FALSE,NA,NA
"21","RT @Shyam17: Data Driven Content Marketing Strategies in Higher Education.#HigherEducation, #BigData,#ContentMarketing,#Education,https://t…",FALSE,0,NA,2015-11-12 04:18:35,FALSE,NA,"664658521754099712",NA,"<a href=""http://www.beingexample.com"" rel=""nofollow"">BeingExample</a>","BeingExample",1,TRUE,FALSE,NA,NA
"22","Data Driven Content Marketing Strategies in Higher Education.#HigherEducation, #BigData,#ContentMarketing,#Education,https://t.co/VquEDQ0b6G",FALSE,0,NA,2015-11-12 04:18:34,FALSE,NA,"664658520386748416",NA,"<a href=""http://gremln.com"" rel=""nofollow"">Gremln</a>","Shyam17",1,FALSE,FALSE,NA,NA
"23","u_t=2x^2u_xx+(2x + 3t)u_x+1u with u(x,s)=abs(3*x^3+3)
 https://t.co/rrFFcdZr5Y #bigdata #analytics https://t.co/wA8zZeTyST",FALSE,0,NA,2015-11-12 04:18:33,FALSE,NA,"664658517551415297",NA,"<a href=""http://www.pdeweb.com"" rel=""nofollow"">PDEWEBBot</a>","PDEWEB",0,FALSE,FALSE,NA,NA
"24","RT @KirkDBorne: What Defines a #BigData Scenario?...ever increasing growth of data in every aspect of life: https://t.co/Hspiruyqrn https:/…",FALSE,0,NA,2015-11-12 04:18:33,FALSE,NA,"664658513403097088",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","gauth555",20,TRUE,FALSE,NA,NA
"25","RT @joe_caserta: 4 Examples Of What Big Data Can Do For Your Clients https://t.co/Jp5LTIoLMg via @BSMInfo #bigdata #dataanalytics",FALSE,0,NA,2015-11-12 04:18:31,FALSE,NA,"664658506805440512",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RickReed75",9,TRUE,FALSE,NA,NA
"26","RT @FintanINFA: Informatica is proud to share a #BigData ecosystem partnership with @AccentureDigi https://t.co/IxMA1pomhg #BigDataReady",FALSE,0,NA,2015-11-12 04:18:27,FALSE,NA,"664658491970334721",NA,"<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>","JamesWMacintyre",1,TRUE,FALSE,NA,NA
"27","RT @KirkDBorne: A #DataScience Declaration for today's Data-Drenched Organizations: https://t.co/OKXbyWSeBF #BigData #Analytics https://t.c…",FALSE,0,NA,2015-11-12 04:18:27,FALSE,NA,"664658489877336064",NA,"<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>","jackwmson",5,TRUE,FALSE,NA,NA
"28","RT @KirkDBorne: 7 Unusual (AND Useful) Applications of #BigData: https://t.co/vtHEexjsaO #abdsc #Analytics #DataScience https://t.co/Qleunv…",FALSE,0,NA,2015-11-12 04:18:21,FALSE,NA,"664658466431111169",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","gauth555",9,TRUE,FALSE,NA,NA
"29","RT @KirkDBorne: #BigData Explosion Creates Seismic Shift in #OilAndGas Industry: https://t.co/yzIKRwsONQ #DataScience #Analytics",FALSE,0,NA,2015-11-12 04:18:18,FALSE,NA,"664658453323907072",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","gauth555",1,TRUE,FALSE,NA,NA
